gc_id,segment,model,n_horizons,mape_median,mape_mean,mape_p95,mae,rmse,bias,bias_pct,best_horizon
197860,GPU,XGBoost,4,11.56,11.86,19.81,62.8678,69.5742,26.9787,6.26,T+2
197860,GPU,LSTM,4,89.78,89.7,91.06,509.4038,514.5463,-509.4038,-89.7,T+4
204756,GPU,LightGBM,4,6.52,10.44,21.4,91.0235,110.9901,51.1742,6.66,T+4
204756,GPU,XGBoost,4,18.63,21.53,42.56,179.539,222.1063,167.5772,20.4,T+1
204756,GPU,LSTM,4,93.47,93.42,94.47,830.1588,838.8387,-830.1588,-93.42,T+4
207702,GPU,XGBoost,4,2.03,2.69,5.96,1.0736,1.4414,-1.0555,-2.64,T+4
207702,GPU,LightGBM,4,8.27,7.91,11.85,2.9634,3.2678,1.3108,3.78,T+1
207702,GPU,LSTM,4,45.75,52.98,70.94,19.8875,20.1069,19.8875,52.98,T+2
224329,GPU,LightGBM,4,5.51,5.56,7.5,6.4727,6.7951,-4.132,-3.56,T+4
224329,GPU,XGBoost,4,5.52,6.28,12.12,7.3184,8.9802,-7.3184,-6.28,T+2
224329,GPU,LSTM,4,49.31,49.2,49.59,57.2937,57.3007,-57.2937,-49.2,T+4
224341,GPU,XGBoost,4,12.77,12.32,22.73,29.3213,37.9057,-28.653,-11.96,T+4
224341,GPU,LightGBM,4,14.37,12.74,21.77,30.1927,37.019,-30.1927,-12.73,T+4
224341,GPU,LSTM,4,74.78,73.58,76.17,163.6224,165.2716,-163.6224,-73.58,T+4
244815,GPU,LightGBM,4,5.07,13.99,39.27,6.4299,11.33,-6.4299,-13.99,T+4
244815,GPU,XGBoost,4,9.94,16.32,40.64,7.1166,11.5403,-7.1166,-16.32,T+4
244815,GPU,LSTM,4,97.84,77.99,100.31,23.593,25.2701,23.593,77.99,T+1
244816,GPU,XGBoost,4,32.45,33.76,47.26,9.3239,9.5435,9.3239,33.76,T+2
244816,GPU,LightGBM,4,37.69,34.28,44.34,9.5567,9.8863,9.5567,34.29,T+2
244816,GPU,LSTM,4,104.5,103.85,128.74,28.9507,29.1639,28.9507,103.85,T+2
244820,GPU,LightGBM,4,55.0,46.57,60.55,4.3654,4.6755,4.3654,46.57,T+4
244820,GPU,XGBoost,4,55.5,54.18,69.94,5.0944,5.2242,5.0944,54.18,T+4
244820,GPU,LSTM,4,515.12,511.22,535.25,48.4845,48.4855,48.4845,511.22,T+4
244822,GPU,LightGBM,4,6.77,7.16,13.21,1.8985,2.306,-1.8985,-7.16,T+3
244822,GPU,XGBoost,4,6.89,7.61,10.73,1.981,2.0957,-1.357,-4.97,T+3
244822,GPU,LSTM,4,119.22,121.62,136.92,31.1146,31.1414,31.1146,121.63,T+2
244824,GPU,LightGBM,4,3.85,3.83,7.09,1.4386,1.8057,-0.0005,0.19,T+4
244824,GPU,XGBoost,4,6.39,5.58,8.26,2.1101,2.3669,-0.8885,-2.06,T+4
244824,GPU,LSTM,4,53.86,55.45,66.47,20.5361,20.6503,20.5361,55.44,T+2
244825,GPU,XGBoost,4,4.85,5.17,7.59,1.4371,1.5174,-0.4191,-1.23,T+3
244825,GPU,LightGBM,4,5.53,5.44,6.12,1.5324,1.548,-0.9486,-3.19,T+2
244825,GPU,LSTM,4,104.95,106.64,120.9,29.7614,29.7948,29.7614,106.64,T+4
244830,GPU,LightGBM,4,4.81,7.33,18.1,7.7909,11.3714,7.7511,7.3,T+2
244830,GPU,XGBoost,4,11.44,11.46,22.66,12.4286,16.8988,11.4294,10.59,T+4
244830,GPU,LSTM,4,47.01,46.62,49.5,51.1144,51.4528,-51.1144,-46.62,T+3
244832,GPU,XGBoost,4,1.61,4.17,11.66,6.2942,10.2526,-4.8612,-3.22,T+1
244832,GPU,LightGBM,4,4.42,6.06,12.5,9.1551,11.5241,-3.8657,-2.57,T+2
244832,GPU,LSTM,4,61.33,61.25,61.33,92.7023,92.703,-92.7023,-61.25,T+4
244833,GPU,LightGBM,4,5.39,6.42,12.77,2.3797,2.9257,2.3797,6.42,T+4
