gc_id,segment,horizon,point_forecast,ci_lower_25,ci_upper_75,ci_lower_80,ci_upper_80,ci_lower_95,ci_upper_95,uncertainty_width,uncertainty_pct,model,forecast_month,phase
49876,Processor,T+1,199.9321,175.0943,223.4175,156.2926,265.6143,129.0499,269.4728,140.4229,70.24,XGBoost,2026-02-01,future
49876,Processor,T+2,207.7816,163.8255,216.0362,129.6793,306.9236,103.0285,455.2504,352.2218,169.52,XGBoost,2026-03-01,future
49876,Processor,T+3,166.715,142.8548,209.3912,118.7851,350.3847,86.8138,468.4576,381.6438,228.92,XGBoost,2026-04-01,future
49876,Processor,T+4,151.3003,132.0971,206.2292,96.9597,333.7677,87.1908,542.1395,454.9487,300.69,XGBoost,2026-05-01,future
49877,Processor,T+1,173.0964,170.2656,253.0638,147.1243,309.1901,121.7561,435.0958,313.3397,181.02,XGBoost,2026-02-01,future
49877,Processor,T+2,188.0632,158.0762,257.0512,164.6481,345.2625,130.6842,498.3411,367.6568,195.5,XGBoost,2026-03-01,future
49877,Processor,T+3,181.034,167.2101,270.9218,158.0188,380.1935,120.9629,523.6969,402.734,222.46,XGBoost,2026-04-01,future
49877,Processor,T+4,202.0106,169.6049,277.5126,144.3491,425.7414,111.7174,563.4556,451.7381,223.62,XGBoost,2026-05-01,future
49882,Processor,T+1,86.47,80.7858,99.3897,71.4254,117.548,58.0974,132.5835,74.4861,86.14,XGBoost,2026-02-01,future
49882,Processor,T+2,95.7087,67.4758,102.0724,57.2467,135.8986,47.1012,184.1775,137.0763,143.22,XGBoost,2026-03-01,future
49882,Processor,T+3,72.2277,72.8016,96.1509,51.2375,136.2617,39.3651,191.5828,152.2177,210.75,XGBoost,2026-04-01,future
49882,Processor,T+4,67.45,58.6777,89.5118,50.0823,123.9869,41.7174,205.0342,163.3167,242.13,XGBoost,2026-05-01,future
49890,Processor,T+1,98.5444,95.886,106.4311,74.9748,125.0085,52.4689,144.2649,91.796,93.15,XGBoost,2026-02-01,future
49890,Processor,T+2,91.8447,84.2142,120.6992,67.3153,129.5067,45.1218,188.5754,143.4536,156.19,XGBoost,2026-03-01,future
49890,Processor,T+3,91.8808,71.0223,108.4476,62.0852,136.0184,39.05,184.0071,144.957,157.77,XGBoost,2026-04-01,future
49890,Processor,T+4,83.5477,59.6119,104.806,51.3097,140.9547,27.0935,195.8376,168.7442,201.97,XGBoost,2026-05-01,future
49891,Processor,T+1,42.8096,43.0806,44.9281,37.7947,56.0358,29.1403,108.8372,79.6969,186.17,XGBoost,2026-02-01,future
49891,Processor,T+2,44.6402,40.4384,46.7303,30.2859,75.9996,23.6725,118.7915,95.119,213.08,XGBoost,2026-03-01,future
49891,Processor,T+3,38.8811,33.5214,53.149,29.1157,94.0487,24.2884,168.198,143.9096,370.13,XGBoost,2026-04-01,future
49891,Processor,T+4,39.2638,30.3139,48.7824,27.2459,89.2817,17.2506,130.5334,113.2828,288.52,XGBoost,2026-05-01,future
49892,Processor,T+1,49.9878,48.225,66.8602,41.9153,88.236,34.254,159.1047,124.8508,249.76,XGBoost,2026-02-01,future
49892,Processor,T+2,47.2751,42.4839,64.2119,35.4243,102.7021,27.9634,190.3606,162.3972,343.52,XGBoost,2026-03-01,future
49892,Processor,T+3,39.8367,33.7105,60.7601,28.5745,131.5811,23.0671,234.3867,211.3196,530.47,XGBoost,2026-04-01,future
49892,Processor,T+4,40.2928,31.7731,58.3958,28.5947,117.6765,17.492,226.6049,209.1129,518.98,XGBoost,2026-05-01,future
49898,Processor,T+1,49.8124,43.5955,45.103,38.2451,61.2122,32.8798,93.3528,60.4729,121.4,XGBoost,2026-02-01,future
49898,Processor,T+2,44.9232,39.4577,43.9535,33.3931,54.7798,27.7631,118.1462,90.3831,201.19,XGBoost,2026-03-01,future
49898,Processor,T+3,39.7524,35.2027,39.3361,28.089,72.3488,27.7343,145.1799,117.4457,295.44,XGBoost,2026-04-01,future
49898,Processor,T+4,39.3364,35.3108,34.4917,30.5577,73.6063,22.0124,140.572,118.5596,301.4,XGBoost,2026-05-01,future
49899,Processor,T+1,31.7844,32.57,33.3612,26.8431,40.8167,22.2483,95.4163,73.1679,230.2,XGBoost,2026-02-01,future
49899,Processor,T+2,29.1455,27.4598,39.9135,26.0521,47.4305,17.5935,98.8601,81.2666,278.83,XGBoost,2026-03-01,future
49899,Processor,T+3,25.3093,25.1142,30.2247,19.7321,64.877,17.882,165.2456,147.3637,582.25,XGBoost,2026-04-01,future
49899,Processor,T+4,23.9172,20.0863,30.8629,22.1486,65.2889,13.7458,144.8799,131.1341,548.28,XGBoost,2026-05-01,future
